"filename", "language", "Markdown", "JSON", "Visual Basic", "JavaScript", "Batch", "Python", "CSS", "HTML", "XML", "JSON with Comments", "PlantUML", "comment", "blank", "total"
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\autorun\run.py", "Python", 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 15, 8, 94
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\README.md", "Markdown", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 56
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\package-lock.json", "JSON", 0, 26480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26481
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\package.json", "JSON", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 23, 1, 44
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\server\auth.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 3, 3, 25
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\server\db.json", "JSON", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\server\index.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\Adiministration\Administration.js", "JavaScript", 0, 0, 0, 86, 0, 0, 0, 0, 0, 0, 0, 12, 17, 115
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\Adiministration\Form.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 10, 57
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\Adiministration\Table.js", "JavaScript", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 5, 45
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\Adiministration\Table2.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\App.test.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\Home.css", "CSS", 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 0, 13, 21, 165
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\Home.js", "JavaScript", 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 2, 20, 84
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 71
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\config\env.js", "JavaScript", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 35, 11, 105
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\config\getHttpsConfig.js", "JavaScript", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 7, 9, 67
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\config\jest\babelTransform.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo\刘岩崧\src\User\code\config\jest\cssTransform.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 3, 3, 15
