"filename", "language", "JavaScript", "XML", "CSS", "Markdown", "comment", "blank", "total"
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\All.js", "JavaScript", 35, 0, 0, 0, 2, 2, 39
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\App.test.js", "JavaScript", 5, 0, 0, 0, 0, 3, 8
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\Home.css", "CSS", 0, 0, 156, 0, 13, 30, 199
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\Home.js", "JavaScript", 285, 0, 0, 0, 0, 28, 313
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\ConfidentialAgreement\ConfidentialAgreementPartyA.css", "CSS", 0, 0, 1, 0, 0, 1, 2
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\ConfidentialAgreement\ConfidentialAgreementPartyA.js", "JavaScript", 169, 0, 0, 0, 3, 30, 202
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\ConfidentialAgreement\ConfidentialAgreementPartyB.css", "CSS", 0, 0, 1, 0, 0, 1, 2
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\ConfidentialAgreement\ConfidentialAgreementPartyB.js", "JavaScript", 157, 0, 0, 0, 0, 30, 187
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\MktContract\ClientApplication.js", "JavaScript", 149, 0, 0, 0, 0, 14, 163
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\MktContract\TrusteeApplication.js", "JavaScript", 149, 0, 0, 0, 0, 15, 164
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\TestAgreement\CheckTA.js", "JavaScript", 166, 0, 0, 0, 0, 25, 191
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\TestAgreement\TestAgreement.css", "CSS", 0, 0, 5, 0, 0, 0, 5
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\TestAgreement\TestAgreement.js", "JavaScript", 182, 0, 0, 0, 1, 30, 213
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\FunctionList\FunctionList.js", "JavaScript", 178, 0, 0, 0, 3, 12, 193
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\FunctionList\FunctionList.md", "Markdown", 0, 0, 0, 5, 0, 1, 6
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\MktdptApplication\mktdept1.js", "JavaScript", 169, 0, 0, 0, 3, 15, 187
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\MktdptApplication\mktdept2.js", "JavaScript", 131, 0, 0, 0, 3, 15, 149
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\MktdptApplication\mktdpt.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\QuotationFeedback\QuotationFeedback.js", "JavaScript", 192, 0, 0, 0, 3, 9, 204
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\Quotation\Quotation.js", "JavaScript", 249, 0, 0, 0, 3, 23, 275
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\SubmitApplication\SubmitApplication.css", "CSS", 0, 0, 31, 0, 0, 1, 32
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\SubmitApplication\SubmitApplication.js", "JavaScript", 859, 0, 0, 0, 11, 92, 962
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\SubmitApplication\SubmitApplication.md", "Markdown", 0, 0, 0, 12, 0, 3, 15
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\TadultApplication\TadultApplication.css", "CSS", 0, 0, 31, 0, 0, 1, 32
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\TadultApplication\TadultApplication.js", "JavaScript", 283, 0, 0, 0, 3, 25, 311
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\UserUploadFiles\UserUploadFiles.js", "JavaScript", 184, 0, 0, 0, 3, 10, 197
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\CheckList\CheckList.js", "JavaScript", 19, 0, 0, 0, 153, 10, 182
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\QuestionList\QuestionList.js", "JavaScript", 260, 0, 0, 0, 151, 25, 436
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\QuestionList\QuestionList.md", "Markdown", 0, 0, 0, 6, 0, 0, 6
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestCase\TestCase.css", "CSS", 0, 0, 1, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestCase\TestCase.js", "JavaScript", 111, 0, 0, 0, 0, 18, 129
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestCheckList\TestCheckList.js", "JavaScript", 425, 0, 0, 0, 5, 28, 458
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestPlan\TestPlan.css", "CSS", 0, 0, 1, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestPlan\TestPlan.js", "JavaScript", 290, 0, 0, 0, 0, 57, 347
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestRecord\TestRecord.css", "CSS", 0, 0, 1, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestRecord\TestRecord.js", "JavaScript", 167, 0, 0, 0, 0, 25, 192
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestReport\TestReport.css", "CSS", 0, 0, 1, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\TestReport\TestReport.js", "JavaScript", 698, 0, 0, 0, 0, 95, 793
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewApplication\ViewApplication.css", "CSS", 0, 0, 32, 0, 0, 1, 33
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewApplication\ViewApplication.js", "JavaScript", 610, 0, 0, 0, 0, 68, 678
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewCfdtagreement\ViewCfdtagreement.css", "CSS", 0, 0, 1, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewCfdtagreement\ViewCfdtagreement.js", "JavaScript", 148, 0, 0, 0, 0, 24, 172
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewContract\ViewContract.css", "CSS", 0, 0, 5, 0, 0, 0, 5
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewContract\ViewContract.js", "JavaScript", 133, 0, 0, 0, 0, 23, 156
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewEntrustList\ViewEntrustList.css", "CSS", 0, 0, 1, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewEntrustList\ViewEntrustList.js", "JavaScript", 146, 0, 0, 0, 0, 9, 155
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewEntrust\ViewEntrust.css", "CSS", 0, 0, 31, 0, 0, 0, 31
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewEntrust\ViewEntrust.js", "JavaScript", 233, 0, 0, 0, 0, 6, 239
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewFunction\ViewFunction.css", "CSS", 0, 0, 1, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewFunction\ViewFunction.js", "JavaScript", 122, 0, 0, 0, 0, 7, 129
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewQuotation\ViewQuotation.css", "CSS", 0, 0, 1, 0, 0, 0, 1
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewQuotation\ViewQuotation.js", "JavaScript", 145, 0, 0, 0, 0, 17, 162
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ViewFilesPart\ViewSignature\ViewSignature.css", "CSS", 0, 0, 1, 0, 0, 0, 1
