Date : 2022-06-01 00:07:48
Directory : c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src
Total : 76 files,  8547 codes, 538 comments, 965 blanks, all 10050 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JavaScript |         51 |      8,173 |        524 |        920 |      9,617 |
| CSS        |         21 |        350 |         14 |         41 |        405 |
| Markdown   |          3 |         23 |          0 |          4 |         27 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                            |         76 |      8,547 |        538 |        965 |     10,050 |
| UserActions                                                                                                                                  |         52 |      7,159 |        347 |        814 |      8,320 |
| UserActions\actions                                                                                                                          |         51 |      7,045 |        345 |        809 |      8,199 |
| UserActions\actions\ContractPart                                                                                                             |          9 |        979 |          4 |        146 |      1,129 |
| UserActions\actions\ContractPart\ConfidentialAgreement                                                                                       |          4 |        328 |          3 |         62 |        393 |
| UserActions\actions\ContractPart\MktContract                                                                                                 |          2 |        298 |          0 |         29 |        327 |
| UserActions\actions\ContractPart\TestAgreement                                                                                               |          3 |        353 |          1 |         55 |        409 |
| UserActions\actions\DelegationPart                                                                                                           |         13 |      2,324 |         32 |        208 |      2,564 |
| UserActions\actions\DelegationPart\FunctionList                                                                                              |          2 |        183 |          3 |         13 |        199 |
| UserActions\actions\DelegationPart\MktdptApplication                                                                                         |          3 |        300 |          6 |         31 |        337 |
| UserActions\actions\DelegationPart\Quotation                                                                                                 |          1 |        249 |          3 |         23 |        275 |
| UserActions\actions\DelegationPart\QuotationFeedback                                                                                         |          1 |        192 |          3 |          9 |        204 |
| UserActions\actions\DelegationPart\SubmitApplication                                                                                         |          3 |        902 |         11 |         96 |      1,009 |
| UserActions\actions\DelegationPart\TadultApplication                                                                                         |          2 |        314 |          3 |         26 |        343 |
| UserActions\actions\DelegationPart\UserUploadFiles                                                                                           |          1 |        184 |          3 |         10 |        197 |
| UserActions\actions\TestPart                                                                                                                 |         12 |      1,980 |        309 |        258 |      2,547 |
| UserActions\actions\TestPart\CheckList                                                                                                       |          1 |         19 |        153 |         10 |        182 |
| UserActions\actions\TestPart\QuestionList                                                                                                    |          2 |        266 |        151 |         25 |        442 |
| UserActions\actions\TestPart\TestCase                                                                                                        |          2 |        112 |          0 |         18 |        130 |
| UserActions\actions\TestPart\TestCheckList                                                                                                   |          1 |        425 |          5 |         28 |        458 |
| UserActions\actions\TestPart\TestPlan                                                                                                        |          2 |        291 |          0 |         57 |        348 |
| UserActions\actions\TestPart\TestRecord                                                                                                      |          2 |        168 |          0 |         25 |        193 |
| UserActions\actions\TestPart\TestReport                                                                                                      |          2 |        699 |          0 |         95 |        794 |
| UserActions\actions\ViewFilesPart                                                                                                            |         17 |      1,762 |          0 |        197 |      1,959 |
