"filename", "language", "JavaScript", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\All.js", "JavaScript", -12, 0, 0, 0, 0, -12
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\Home.js", "JavaScript", 112, 0, 0, 0, 11, 123
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\MktContract\ClientApplication.js", "JavaScript", 31, 0, 0, 0, 0, 31
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\MktContract\TrusteeApplication.js", "JavaScript", 39, 0, 0, 0, 0, 39
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\OfflineSignContract\OfflineSignContract.js", "JavaScript", 216, 0, 0, 0, 7, 223
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\TestAgreement\CheckTA.js", "JavaScript", 123, 0, 0, 3, 1, 127
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\ContractPart\TestAgreement\TestAgreement.js", "JavaScript", 84, 0, 0, 0, 0, 84
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\FunctionList\FunctionList.js", "JavaScript", 13, 0, 0, 3, -2, 14
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\FunctionList\FunctionList.md", "Markdown", 0, 7, 0, 0, 0, 7
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\MktdptApplication\mktdept1.js", "JavaScript", 6, 0, 0, 3, 1, 10
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\MktdptApplication\mktdept1.md", "Markdown", 0, 11, 0, 0, 0, 11
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\MktdptApplication\mktdept2.js", "JavaScript", 6, 0, 0, 3, 1, 10
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\MktdptApplication\mktdept2.md", "Markdown", 0, 11, 0, 0, 0, 11
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\QuotationFeedback\QuotationFeedback.js", "JavaScript", 10, 0, 0, 4, 1, 15
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\QuotationFeedback\QuotationFeedback.md", "Markdown", 0, 29, 0, 0, 1, 30
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\Quotation\Quotation.js", "JavaScript", 12, 0, 0, 3, -2, 13
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\Quotation\Quotation.md", "Markdown", 0, 12, 0, 0, 1, 13
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\SubmitApplication\SubmitApplication.js", "JavaScript", -114, 0, 0, 0, 20, -94
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\TadultApplication\TadultApplication.js", "JavaScript", 49, 0, 0, 3, 6, 58
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\TadultApplication\TadultApplication.md", "Markdown", 0, 11, 0, 0, 1, 12
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\UserUploadFiles\UserUploadFiles.js", "JavaScript", 9, 0, 0, 3, 2, 14
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\UserUploadFiles\UserUploadFiles.md", "Markdown", 0, 11, 0, 0, 1, 12
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\UserUploadSample\UserUploadSample.js", "JavaScript", 242, 0, 0, 10, 12, 264
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\DelegationPart\UserUploadSample\UserUploadSample.md", "Markdown", 0, 11, 0, 0, 1, 12
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\CheckList\CheckList.js", "JavaScript", 254, 0, 0, -152, 13, 115
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\QuestionList\QuestionList.js", "JavaScript", -30, 0, 0, -130, -5, -165
"c:\Users\lenovo\Desktop\Web\SE_proj_2021\demo_1.0\src\UserActions\actions\TestPart\SoftwareDocumentReviewForm\SoftwareDocumentReviewForm.js", "JavaScript", 439, 0, 0, 5, 28, 472
